student_id,subject_id,exam_round
BGD000001,ARAB,1
BGD000001,ENGL,1
BGD000001,CHEM,1
BGD000001,ISLM,1
BGD000001,MATH,1
BGD000001,BIOL,1
BGD000001,PHYS,1
BGD000002,MATH,1
BGD000002,CHEM,1
BGD000002,ENGL,1
BGD000002,ARAB,1
BGD000002,ISLM,1
BGD000002,PHYS,1
BGD000002,BIOL,1
BGD000003,ISLM,1
BGD000003,MATH,1
BGD000003,PHYS,1
BGD000003,CHEM,1
BGD000003,ENGL,1
BGD000003,BIOL,1
BGD000003,ARAB,1
BGD000004,MATH,1
BGD000004,CHEM,1
BGD000004,ARAB,1
BGD000004,BIOL,1
BGD000004,ISLM,1
BGD000004,ENGL,1
BGD000004,PHYS,1
BGD000005,CHEM,1
BGD000005,MATH,1
BGD000005,BIOL,1
BGD000005,ISLM,1
BGD000005,PHYS,1
BGD000005,ENGL,1
BGD000005,ARAB,1
BGD000006,BIOL,1
BGD000006,CHEM,1
BGD000006,PHYS,1
BGD000006,MATH,1
BGD000006,ISLM,1
BGD000006,ENGL,1
BGD000006,ARAB,1
BGD000007,ENGL,1
BGD000007,BIOL,1
BGD000007,ISLM,1
BGD000007,PHYS,1
BGD000007,CHEM,1
BGD000007,MATH,1
BGD000007,ARAB,1
BGD000008,MATH,1
BGD000008,BIOL,1
BGD000008,PHYS,1
BGD000008,ISLM,1
BGD000008,CHEM,1
BGD000008,ENGL,1
BGD000008,ARAB,1
BGD000009,ENGL,1
BGD000009,MATH,1
BGD000009,BIOL,1
BGD000009,ARAB,1
BGD000009,PHYS,1
BGD000009,ISLM,1
BGD000009,CHEM,1
BGD000010,ISLM,1
BGD000010,BIOL,1
BGD000010,CHEM,1
BGD000010,PHYS,1
BGD000010,ENGL,1
BGD000010,MATH,1
BGD000010,ARAB,1
BGD000011,MATH,1
BGD000011,CHEM,1
BGD000011,ARAB,1
BGD000011,BIOL,1
BGD000011,PHYS,1
BGD000011,ISLM,1
BGD000012,BIOL,1
BGD000012,MATH,1
BGD000012,ISLM,1
BGD000012,CHEM,1
BGD000012,ENGL,1
BGD000012,ARAB,1
BGD000012,PHYS,1
BGD000013,BIOL,1
BGD000013,MATH,1
BGD000013,PHYS,1
BGD000013,ENGL,1
BGD000013,ISLM,1
BGD000013,ARAB,1
BGD000013,CHEM,1
BGD000014,BIOL,1
BGD000014,MATH,1
BGD000014,CHEM,1
BGD000014,ISLM,1
BGD000014,ARAB,1
BGD000014,ENGL,1
BGD000015,ISLM,1
BGD000015,ENGL,1
BGD000015,PHYS,1
BGD000015,BIOL,1
BGD000015,ARAB,1
BGD000015,CHEM,1
BGD000015,MATH,1
BGD000016,PHYS,1
BGD000016,BIOL,1
BGD000016,MATH,1
BGD000016,CHEM,1
BGD000016,ARAB,1
BGD000016,ISLM,1
BGD000016,ENGL,1
BGD000017,PHYS,1
BGD000017,BIOL,1
BGD000017,MATH,1
BGD000017,ARAB,1
BGD000017,CHEM,1
BGD000017,ISLM,1
BGD000018,PHYS,1
BGD000018,ISLM,1
BGD000018,ARAB,1
BGD000018,ENGL,1
BGD000018,CHEM,1
BGD000018,MATH,1
BGD000018,BIOL,1
BGD000019,ENGL,1
BGD000019,CHEM,1
BGD000019,BIOL,1
BGD000019,ISLM,1
BGD000019,ARAB,1
BGD000019,MATH,1
BGD000019,PHYS,1
BGD000020,MATH,1
BGD000020,CHEM,1
BGD000020,ENGL,1
BGD000020,ISLM,1
BGD000020,BIOL,1
BGD000020,PHYS,1
BGD000020,ARAB,1
BGD000021,ENGL,1
BGD000021,CHEM,1
BGD000021,ISLM,1
BGD000021,ARAB,1
BGD000021,BIOL,1
BGD000021,PHYS,1
BGD000021,MATH,1
BGD000022,MATH,1
BGD000022,BIOL,1
BGD000022,CHEM,1
BGD000022,PHYS,1
BGD000022,ARAB,1
BGD000022,ISLM,1
BGD000023,PHYS,1
BGD000023,MATH,1
BGD000023,CHEM,1
BGD000023,ENGL,1
BGD000023,BIOL,1
BGD000023,ISLM,1
BGD000024,CHEM,1
BGD000024,ENGL,1
BGD000024,PHYS,1
BGD000024,BIOL,1
BGD000024,ISLM,1
BGD000024,ARAB,1
BGD000024,MATH,1
BGD000025,ISLM,1
BGD000025,ENGL,1
BGD000025,MATH,1
BGD000025,BIOL,1
BGD000025,PHYS,1
BGD000025,ARAB,1
BGD000026,ENGL,1
BGD000026,BIOL,1
BGD000026,PHYS,1
BGD000026,CHEM,1
BGD000026,ISLM,1
BGD000026,MATH,1
BGD000026,ARAB,1
BGD000027,PHYS,1
BGD000027,MATH,1
BGD000027,CHEM,1
BGD000027,BIOL,1
BGD000027,ISLM,1
BGD000027,ARAB,1
BGD000028,MATH,1
BGD000028,ENGL,1
BGD000028,PHYS,1
BGD000028,ISLM,1
BGD000028,BIOL,1
BGD000028,ARAB,1
BGD000028,CHEM,1
BGD000029,MATH,1
BGD000029,ARAB,1
BGD000029,BIOL,1
BGD000029,ISLM,1
BGD000029,CHEM,1
BGD000029,PHYS,1
BGD000030,CHEM,1
BGD000030,ENGL,1
BGD000030,ARAB,1
BGD000030,BIOL,1
BGD000030,ISLM,1
BGD000030,MATH,1
BGD000030,PHYS,1
BGD000031,BIOL,1
BGD000031,ENGL,1
BGD000031,MATH,1
BGD000031,CHEM,1
BGD000031,ARAB,1
BGD000031,ISLM,1
BGD000031,PHYS,1
BGD000032,BIOL,1
BGD000032,PHYS,1
BGD000032,CHEM,1
BGD000032,ISLM,1
BGD000032,MATH,1
BGD000032,ENGL,1
BGD000032,ARAB,1
BGD000033,ARAB,1
BGD000033,ISLM,1
BGD000033,MATH,1
BGD000033,PHYS,1
BGD000033,BIOL,1
BGD000033,CHEM,1
BGD000033,ENGL,1
BGD000034,ENGL,1
BGD000034,ISLM,1
BGD000034,MATH,1
BGD000034,PHYS,1
BGD000034,ARAB,1
BGD000034,BIOL,1
BGD000034,CHEM,1
BGD000035,MATH,1
BGD000035,PHYS,1
BGD000035,ARAB,1
BGD000035,BIOL,1
BGD000035,ENGL,1
BGD000035,CHEM,1
BGD000036,PHYS,1
BGD000036,ARAB,1
BGD000036,MATH,1
BGD000036,CHEM,1
BGD000036,ISLM,1
BGD000036,BIOL,1
BGD000037,MATH,1
BGD000037,BIOL,1
BGD000037,CHEM,1
BGD000037,ENGL,1
BGD000037,ARAB,1
BGD000037,PHYS,1
BGD000037,ISLM,1
BGD000038,ARAB,1
BGD000038,PHYS,1
BGD000038,BIOL,1
BGD000038,ISLM,1
BGD000038,MATH,1
BGD000038,CHEM,1
BGD000038,ENGL,1
BGD000039,BIOL,1
BGD000039,CHEM,1
BGD000039,ARAB,1
BGD000039,PHYS,1
BGD000039,ENGL,1
BGD000039,ISLM,1
BGD000040,ARAB,1
BGD000040,PHYS,1
BGD000040,MATH,1
BGD000040,ISLM,1
BGD000040,CHEM,1
BGD000040,BIOL,1
BGD000040,ENGL,1
BGD000041,PHYS,1
BGD000041,MATH,1
BGD000041,ARAB,1
BGD000041,ENGL,1
BGD000041,BIOL,1
BGD000041,ISLM,1
BGD000042,ENGL,1
BGD000042,MATH,1
BGD000042,ARAB,1
BGD000042,PHYS,1
BGD000042,CHEM,1
BGD000042,ISLM,1
BGD000042,BIOL,1
BGD000043,CHEM,1
BGD000043,ARAB,1
BGD000043,ENGL,1
BGD000043,MATH,1
BGD000043,ISLM,1
BGD000043,BIOL,1
BGD000044,ARAB,1
BGD000044,ENGL,1
BGD000044,ISLM,1
